year,month,day,channel,total_applications,total_approved_amount,avg_credit_score,min_credit_score,max_credit_score
2026,5,2,branch,2861,49739210,621.4026564138413,300,950
2026,5,9,atm,2778,47858538,620.1673866090713,300,950
2026,5,18,branch,2881,48711395,624.7372440124957,300,950
2026,5,1,web,2807,51235936,627.7474171713574,300,950
2026,5,7,web,2982,55190975,624.4557344064386,300,950
2026,5,17,web,2804,49142846,626.984308131241,300,950
2026,5,2,web,2736,51838733,629.2470760233919,300,950
2026,5,28,partner,2857,52371822,620.5974798739937,300,950
2026,5,1,partner,2865,51134831,629.8984293193718,300,950
2026,5,28,branch,2840,48718321,621.068309859155,300,950
2026,5,27,mobile,2865,50642223,625.8062827225131,300,950
2026,5,30,atm,2792,47296123,625.8918338108882,300,950
2026,5,8,web,2770,50757614,623.8357400722022,300,950
2026,5,30,branch,2745,47649281,621.1978142076503,300,950
2026,5,20,web,2803,49048430,626.1455583303604,300,950
2026,5,19,mobile,2898,51930171,624.5372670807453,300,950
2026,5,6,web,2897,49512329,621.2630307214359,300,950
2026,5,15,mobile,2841,50579495,622.70116156283,300,950
2026,5,23,mobile,2868,53070682,633.9933751743375,300,950
2026,5,3,partner,2871,50319470,624.7063740856844,300,950
2026,5,7,mobile,2925,50948568,625.7634188034189,300,950
2026,5,31,partner,2891,47984806,625.1051539259772,300,950
2026,5,22,branch,2822,47845117,621.6927710843373,300,950
2026,5,15,partner,2861,53286374,631.9262495630899,300,950
2026,5,25,mobile,2781,49732545,625.3671341244157,300,950
2026,5,9,branch,2763,48784080,626.5063336952588,300,950
2026,5,5,atm,2911,52119282,626.6451391274476,300,950
2026,5,16,partner,2812,48521571,627.7435988620199,300,950
2026,5,5,web,2823,48411325,622.986539142756,300,950
2026,5,4,branch,2855,52846386,626.1824868651489,300,950
2026,5,9,web,2860,51188671,630.1374125874125,300,950
2026,5,23,web,2790,48734256,619.5046594982078,300,950
2026,5,19,branch,2816,50288289,626.48828125,300,950
2026,5,27,web,2890,53513825,629.640830449827,300,950
2026,5,20,atm,2800,46213917,622.2060714285715,300,950
2026,5,8,atm,2817,48390666,619.5669151579694,300,950
2026,5,18,web,2833,50589399,630.0483586304271,300,950
2026,5,14,partner,2804,48031685,626.9718259629101,300,950
2026,5,4,atm,2875,49339888,625.2448695652174,300,950
2026,5,31,web,2802,47789003,621.6581013561741,300,950
2026,5,5,partner,2794,46747591,623.0565497494631,300,950
2026,5,16,branch,2848,51836193,633.9775280898876,300,950
2026,5,16,web,2795,49767054,628.8805008944544,300,950
2026,5,22,web,2846,50159193,628.2375263527758,300,950
2026,5,13,web,2966,50684458,622.9855023600809,300,950
2026,5,7,branch,2802,48417084,629.2537473233405,300,950
2026,5,26,mobile,2868,50512820,625.6952580195258,300,950
2026,5,29,mobile,2780,48040555,620.8719424460431,300,950
2026,5,17,partner,2868,49590762,628.6168061366806,300,950
2026,5,9,mobile,2790,51252817,624.4193548387096,300,950
2026,5,24,branch,2846,50615940,627.1412508784258,300,950
2026,5,24,mobile,2869,50241593,621.5848727779714,300,950
2026,5,1,branch,2867,49022935,623.3993721660272,300,950
2026,5,12,mobile,2895,51861723,626.0300518134715,300,950
2026,5,21,atm,2811,50948620,624.8758448950551,300,950
2026,5,4,mobile,2791,49960061,625.6836259405231,300,950
2026,5,29,partner,2842,51545347,621.7114707952146,300,950
2026,5,23,partner,2756,49806759,625.4111030478955,300,950
2026,5,17,atm,2844,47761137,622.2798874824191,300,950
2026,5,21,branch,2839,49261749,622.5191969003171,300,950
2026,5,29,atm,2792,47518947,626.5884670487106,300,950
2026,5,13,branch,2907,50207209,625.0436876504988,300,950
2026,5,17,branch,2855,46939837,622.3026269702277,300,950
2026,5,19,web,2887,48799988,627.0654658815379,300,950
2026,5,15,atm,2791,53688978,629.434969544966,300,950
2026,5,28,web,2889,49916438,620.8296988577363,300,950
2026,5,30,web,2816,49944000,626.8870738636364,300,950
2026,5,21,web,2789,50099875,627.2395123700251,300,950
2026,5,16,mobile,2914,48277930,626.8308167467399,300,950
2026,5,11,mobile,2891,51656749,623.2601176063646,300,950
2026,5,6,partner,2829,48470824,628.1466949452104,300,950
2026,5,25,web,2855,50821630,629.9870402802102,300,950
2026,5,20,branch,2831,48492727,628.4161073825503,300,950
2026,5,22,mobile,2869,48872650,628.6162425932381,300,950
2026,5,21,partner,2838,50473426,629.8202959830867,300,950
2026,5,10,branch,2845,51502624,627.9205623901581,300,950
2026,5,24,partner,2820,49255633,623.7283687943262,300,950
2026,5,12,partner,2877,48836683,623.3315954118874,300,950
2026,5,22,atm,2803,50451484,629.7213699607563,300,950
2026,5,12,branch,2852,51156582,629.2016129032259,300,950
2026,5,15,web,2795,49939998,623.3474060822898,300,950
2026,5,10,partner,2819,49784099,623.8403689251508,300,950
2026,5,16,atm,2871,50021644,623.9265064437478,300,950
2026,5,29,branch,2870,47382553,621.6292682926829,300,950
2026,5,3,web,2926,51031563,620.5734791524266,300,950
2026,5,1,mobile,2803,47325817,626.6528719229397,300,950
2026,5,26,branch,2802,48974502,623.5902926481085,300,950
2026,5,4,web,2899,52047442,628.5181096929975,300,950
2026,5,21,mobile,2871,50770301,624.717868338558,300,950
2026,5,6,mobile,2883,51829757,624.0995490808186,300,950
2026,5,25,branch,2816,47450685,628.4932528409091,300,950
2026,5,13,atm,2785,46539104,620.9526032315979,300,950
2026,5,6,atm,2853,52182299,629.7753242201192,300,950
2026,5,3,branch,2790,49909683,628.7824372759857,300,950
2026,5,4,partner,2798,48840327,617.5382416011437,300,950
2026,5,17,mobile,2896,50591243,632.7213397790056,300,950
2026,5,27,partner,2869,52155070,628.7650749390032,300,950
2026,5,1,atm,2969,51756247,625.4476254631189,300,950
2026,5,18,mobile,2836,52964453,627.6925246826517,300,950
2026,5,27,branch,2930,52388717,626.1993174061433,300,950
2026,5,22,partner,2808,49148262,624.3194444444445,300,950
2026,5,19,atm,2814,50162650,623.2388059701492,300,950
2026,5,11,atm,2785,49081096,629.4822262118491,300,949
2026,5,15,branch,2822,50033216,624.3830616583983,301,950
